,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
0,2004,Premier-League,Chelsea FC,31,24.9,24,€10.69m,€331.48m,[]
1,2004,Premier-League,Manchester United,37,24.7,25,€7.93m,€293.23m,['FA Cup Winner 03/04']
2,2004,Premier-League,Arsenal FC,37,23.9,29,€6.68m,€247.00m,['English Champion 03/04']
3,2004,Premier-League,Liverpool FC,38,25.3,26,€5.85m,€222.13m,[]
4,2004,Premier-League,Tottenham Hotspur,36,25.2,21,€3.53m,€127.20m,[]
5,2004,Premier-League,Newcastle United,32,26.0,15,€3.93m,€125.90m,[]
6,2004,Premier-League,Birmingham City,38,26.8,21,€2.81m,€106.93m,[]
7,2004,Premier-League,Middlesbrough FC,33,26.2,14,€2.89m,€95.43m,[]
8,2004,Premier-League,Manchester City,34,26.7,21,€2.77m,€94.30m,[]
9,2004,Premier-League,Southampton FC,41,26.5,25,€2.08m,€85.48m,[]
10,2004,Premier-League,Aston Villa,26,25.2,16,€3.24m,€84.18m,[]
11,2004,Premier-League,Everton FC,26,27.5,15,€2.86m,€74.28m,[]
12,2004,Premier-League,Blackburn Rovers,33,28.0,24,€2.23m,€73.70m,[]
13,2004,Premier-League,Fulham FC,34,26.4,23,€1.92m,€65.23m,[]
14,2004,Premier-League,Portsmouth FC,37,26.6,24,€1.73m,€64.00m,[]
15,2004,Premier-League,Bolton Wanderers,29,28.5,20,€2.19m,€63.58m,[]
16,2004,Premier-League,Charlton Athletic,26,27.1,15,€2.22m,€57.80m,[]
17,2004,Premier-League,West Bromwich Albion,32,27.6,19,€1.58m,€50.40m,[]
18,2004,Premier-League,Crystal Palace,35,25.4,17,€1.10m,€38.53m,[]
19,2004,Premier-League,Norwich City,27,27.5,12,€1.15m,€30.95m,['English 2nd tier champion 03/04']
20,2005,Premier-League,Chelsea FC,30,25.3,21,€12.11m,€363.43m,['English Champion 04/05']
21,2005,Premier-League,Manchester United,34,25.4,21,€7.49m,€254.58m,[]
22,2005,Premier-League,Arsenal FC,37,24.1,30,€6.28m,€232.33m,['FA Cup Winner 04/05']
23,2005,Premier-League,Liverpool FC,37,24.9,27,€5.85m,€216.35m,['Champions League Winner 04/05']
24,2005,Premier-League,Tottenham Hotspur,32,26.3,16,€4.82m,€154.33m,[]
25,2005,Premier-League,Newcastle United,32,26.5,13,€4.70m,€150.48m,[]
26,2005,Premier-League,Middlesbrough FC,39,25.8,18,€2.42m,€94.38m,[]
27,2005,Premier-League,Everton FC,31,27.4,19,€3.00m,€92.92m,[]
28,2005,Premier-League,Manchester City,32,26.3,17,€2.87m,€91.90m,[]
29,2005,Premier-League,Aston Villa,30,25.7,17,€2.97m,€89.00m,[]
30,2005,Premier-League,Portsmouth FC,36,27.5,29,€2.39m,€86.13m,[]
31,2005,Premier-League,Charlton Athletic,36,26.6,21,€2.29m,€82.43m,[]
32,2005,Premier-League,Birmingham City,33,27.1,18,€2.48m,€81.83m,[]
33,2005,Premier-League,Fulham FC,33,27.7,24,€2.15m,€70.88m,[]
34,2005,Premier-League,West Bromwich Albion,32,26.6,15,€2.05m,€65.55m,[]
35,2005,Premier-League,Blackburn Rovers,27,28.3,21,€2.36m,€63.80m,[]
36,2005,Premier-League,West Ham United,33,25.7,14,€1.90m,€62.55m,[]
37,2005,Premier-League,Bolton Wanderers,32,26.8,23,€1.93m,€61.85m,[]
38,2005,Premier-League,Wigan Athletic,30,28.3,18,€1.73m,€51.92m,[]
39,2005,Premier-League,Sunderland AFC,31,25.2,20,€1.11m,€34.35m,['English 2nd tier champion 04/05']
40,2006,Premier-League,Chelsea FC,37,24.8,25,€11.26m,€416.76m,['English Champion 05/06']
41,2006,Premier-League,Arsenal FC,38,23.9,32,€7.32m,€278.18m,[]
42,2006,Premier-League,Manchester United,38,25.0,19,€6.82m,€259.15m,[]
43,2006,Premier-League,Liverpool FC,38,24.7,25,€6.31m,€239.77m,['FA Cup Winner 05/06']
44,2006,Premier-League,Tottenham Hotspur,38,24.6,20,€4.36m,€165.73m,[]
45,2006,Premier-League,Newcastle United,35,25.7,23,€4.19m,€146.55m,['Intertoto-Cup Winner 05/06']
46,2006,Premier-League,Aston Villa,34,26.6,19,€3.22m,€109.50m,[]
47,2006,Premier-League,Everton FC,29,26.9,19,€3.77m,€109.45m,[]
48,2006,Premier-League,West Ham United,35,26.4,14,€3.01m,€105.45m,[]
49,2006,Premier-League,Portsmouth FC,32,27.6,20,€3.03m,€97.08m,[]
50,2006,Premier-League,Middlesbrough FC,35,25.0,16,€2.75m,€96.32m,[]
51,2006,Premier-League,Manchester City,34,25.9,18,€2.63m,€89.25m,[]
52,2006,Premier-League,Fulham FC,37,27.7,29,€2.29m,€84.68m,[]
53,2006,Premier-League,Blackburn Rovers,31,27.9,24,€2.55m,€78.90m,[]
54,2006,Premier-League,Wigan Athletic,37,27.6,25,€2.03m,€74.93m,[]
55,2006,Premier-League,Bolton Wanderers,34,26.1,26,€2.13m,€72.38m,[]
56,2006,Premier-League,Charlton Athletic,37,26.3,25,€1.93m,€71.47m,[]
57,2006,Premier-League,Sheffield United,43,26.9,20,€1.01m,€43.36m,[]
58,2006,Premier-League,Watford FC,43,24.4,21,€767k,€32.97m,[]
59,2006,Premier-League,Reading FC,38,24.9,26,€865k,€32.88m,['English 2nd tier champion 05/06']
60,2007,Premier-League,Chelsea FC,39,25.7,25,€11.14m,€434.35m,['FA Cup Winner 06/07']
61,2007,Premier-League,Manchester United,38,25.2,21,€9.33m,€354.55m,['English Champion 06/07']
62,2007,Premier-League,Liverpool FC,41,24.0,26,€7.45m,€305.65m,[]
63,2007,Premier-League,Arsenal FC,35,23.3,30,€7.50m,€262.40m,[]
64,2007,Premier-League,Tottenham Hotspur,38,24.9,21,€5.80m,€220.50m,[]
65,2007,Premier-League,Everton FC,32,25.8,18,€4.85m,€155.30m,[]
66,2007,Premier-League,Manchester City,36,24.9,24,€4.17m,€150.10m,[]
67,2007,Premier-League,Portsmouth FC,33,27.0,22,€4.28m,€141.30m,[]
68,2007,Premier-League,Newcastle United,33,26.2,21,€4.10m,€135.20m,[]
69,2007,Premier-League,Middlesbrough FC,34,25.0,15,€3.56m,€120.90m,[]
70,2007,Premier-League,West Ham United,36,26.7,16,€3.33m,€120.00m,[]
71,2007,Premier-League,Aston Villa,25,25.7,11,€4.48m,€112.10m,[]
72,2007,Premier-League,Bolton Wanderers,42,26.3,30,€2.48m,€104.20m,[]
73,2007,Premier-League,Fulham FC,43,28.2,33,€2.30m,€99.05m,[]
74,2007,Premier-League,Blackburn Rovers,38,26.1,31,€2.39m,€90.85m,[]
75,2007,Premier-League,Sunderland AFC,45,25.6,33,€1.86m,€83.60m,['English 2nd tier champion 06/07']
76,2007,Premier-League,Birmingham City,33,25.2,23,€2.50m,€82.50m,[]
77,2007,Premier-League,Wigan Athletic,35,27.3,23,€2.22m,€77.75m,[]
78,2007,Premier-League,Reading FC,43,25.4,30,€1.53m,€65.93m,[]
79,2007,Premier-League,Derby County,41,27.3,23,€1.23m,€50.40m,[]
80,2008,Premier-League,Chelsea FC,33,26.9,24,€13.59m,€448.55m,[]
81,2008,Premier-League,Manchester United,42,24.4,26,€10.14m,€425.95m,"['Champions League Winner 07/08', 'English Champion 07/08']"
82,2008,Premier-League,Liverpool FC,33,25.3,27,€10.39m,€342.85m,[]
83,2008,Premier-League,Arsenal FC,41,22.6,31,€7.60m,€311.45m,[]
84,2008,Premier-League,Tottenham Hotspur,43,24.3,24,€6.48m,€278.80m,[]
85,2008,Premier-League,Manchester City,39,25.1,27,€6.62m,€258.35m,[]
86,2008,Premier-League,Everton FC,32,25.3,16,€5.95m,€190.33m,[]
87,2008,Premier-League,Aston Villa,35,25.3,16,€4.50m,€157.35m,[]
88,2008,Premier-League,Portsmouth FC,36,28.2,22,€4.24m,€152.60m,['FA Cup Winner 07/08']
89,2008,Premier-League,Newcastle United,38,25.2,22,€3.54m,€134.55m,[]
90,2008,Premier-League,West Ham United,40,25.8,20,€3.35m,€133.90m,[]
91,2008,Premier-League,Sunderland AFC,44,26.0,29,€2.51m,€110.30m,[]
92,2008,Premier-League,Wigan Athletic,35,27.0,22,€2.96m,€103.75m,[]
93,2008,Premier-League,Blackburn Rovers,36,26.7,27,€2.53m,€91.20m,[]
94,2008,Premier-League,Middlesbrough FC,33,23.8,14,€2.59m,€85.45m,[]
95,2008,Premier-League,Fulham FC,38,26.8,24,€2.21m,€83.85m,[]
96,2008,Premier-League,Bolton Wanderers,33,26.4,20,€2.47m,€81.65m,[]
97,2008,Premier-League,West Bromwich Albion,35,25.4,25,€1.89m,€66.10m,['English 2nd tier champion 07/08']
98,2008,Premier-League,Hull City,35,28.5,17,€1.85m,€64.70m,[]
99,2008,Premier-League,Stoke City,38,27.4,19,€1.67m,€63.45m,[]
100,2009,Premier-League,Chelsea FC,36,26.4,27,€12.55m,€451.95m,['FA Cup Winner 08/09']
