,year,league,tier,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,has_relegated,has_promoted,has_won_titles
0,2010,Premier-League,1,Chelsea FC,33,25.9,23,12850000,424100000,False,False,True
1,2010,Premier-League,1,Manchester City,45,24.9,28,8980000,404180000,False,False,False
2,2010,Premier-League,1,Manchester United,43,25.7,29,9020000,388000000,False,False,False
3,2010,Premier-League,1,Liverpool FC,42,24.9,25,8080000,339200000,False,False,False
4,2010,Premier-League,1,Arsenal FC,34,24.8,27,9530000,324000000,False,False,False
5,2010,Premier-League,1,Tottenham Hotspur,38,26.3,22,8080000,307080000,False,False,False
6,2010,Premier-League,1,Aston Villa,39,26.7,21,5200000,202800000,False,False,False
7,2010,Premier-League,1,Everton FC,32,25.4,21,5760000,184480000,False,False,False
8,2010,Premier-League,1,Sunderland AFC,39,25.2,20,3830000,149330000,False,False,False
9,2010,Premier-League,1,West Ham United,40,26.4,24,3470000,138750000,False,False,False
10,2010,Premier-League,1,Newcastle United,38,25.2,17,3140000,119480000,False,True,True
11,2010,Premier-League,1,Fulham FC,34,28.9,27,3220000,109550000,False,False,False
12,2010,Premier-League,1,Bolton Wanderers,34,26.9,18,2950000,100150000,False,False,False
13,2010,Premier-League,1,Birmingham City,34,27.3,20,2810000,95380000,False,False,False
14,2010,Premier-League,1,Stoke City,33,28.5,20,2860000,94450000,False,False,False
15,2010,Premier-League,1,Blackburn Rovers,37,26.6,29,2470000,91530000,False,False,False
16,2010,Premier-League,1,West Bromwich Albion,37,25.8,24,2350000,86880000,False,True,False
17,2010,Premier-League,1,Wolverhampton Wanderers,42,25.2,24,1990000,83550000,False,True,False
18,2010,Premier-League,1,Wigan Athletic,35,25.5,24,2300000,80500000,False,False,False
19,2010,Premier-League,1,Blackpool FC,45,25.7,23,1110000,50030000,False,True,False
20,2011,Premier-League,1,Manchester City,36,25.9,24,13850000,498600000,False,False,True
21,2011,Premier-League,1,Manchester United,41,25.1,24,9860000,404100000,False,False,True
22,2011,Premier-League,1,Chelsea FC,32,27.1,21,11730000,375500000,False,False,False
23,2011,Premier-League,1,Arsenal FC,45,24.7,35,8050000,362430000,False,False,False
24,2011,Premier-League,1,Tottenham Hotspur,50,25.7,27,6470000,323500000,False,False,False
25,2011,Premier-League,1,Liverpool FC,31,26.1,18,7640000,236900000,False,False,False
26,2011,Premier-League,1,Everton FC,36,26.8,25,4720000,169950000,False,False,False
27,2011,Premier-League,1,Newcastle United,37,25.3,21,4370000,161700000,False,False,False
28,2011,Premier-League,1,Sunderland AFC,36,25.9,20,3510000,126500000,False,False,False
29,2011,Premier-League,1,Aston Villa,37,26.2,23,3340000,123500000,False,False,False
30,2011,Premier-League,1,Fulham FC,36,27.6,28,2780000,100000000,False,False,False
31,2011,Premier-League,1,Bolton Wanderers,38,26.4,19,2370000,90050000,False,False,False
