,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
0,2000,Bundesliga,Borussia Dortmund,36,26.3,14,-,-,[]
1,2000,Bundesliga,Bayer 04 Leverkusen,34,25.3,19,-,-,[]
2,2000,Bundesliga,Bayern Munich,34,27.1,17,-,-,"['German Champion 99/00', 'German Cup winner  99/00']"
3,2000,Bundesliga,TSV 1860 Munich,38,26.9,15,-,-,[]
4,2000,Bundesliga,1.FC Kaiserslautern,34,27.5,17,-,-,[]
5,2000,Bundesliga,Hamburger SV,36,28.5,15,-,-,[]
6,2000,Bundesliga,SC Freiburg,29,25.4,14,-,-,[]
7,2000,Bundesliga,1.FC Köln,33,25.8,14,-,-,['German 2. Bundesliga Champion 99/00']
8,2000,Bundesliga,SpVgg Unterhaching,32,28.5,7,-,-,[]
9,2000,Bundesliga,VfB Stuttgart,38,25.8,17,-,-,[]
10,2000,Bundesliga,Eintracht Frankfurt,44,26.6,17,-,-,[]
11,2000,Bundesliga,SV Werder Bremen,35,27.0,14,-,-,[]
12,2000,Bundesliga,FC Schalke 04,32,28.1,15,-,-,[]
13,2000,Bundesliga,FC Hansa Rostock,30,28.5,10,-,-,[]
14,2000,Bundesliga,VfL Wolfsburg,30,27.5,14,-,-,[]
15,2000,Bundesliga,VfL Bochum,33,27.9,14,-,-,[]
16,2000,Bundesliga,Hertha BSC,30,27.4,15,-,-,[]
17,2000,Bundesliga,FC Energie Cottbus,33,27.7,22,-,-,[]
18,2001,Bundesliga,Borussia Dortmund,34,26.1,15,-,-,[]
19,2001,Bundesliga,Bayern Munich,32,27.2,14,-,-,"['Intercontinental Cup Winner 00/01', 'Champions League Winner 00/01', 'German Champion 00/01']"
20,2001,Bundesliga,FC Schalke 04,35,27.6,20,-,-,['German Cup winner  00/01']
21,2001,Bundesliga,Borussia Mönchengladbach,30,27.5,14,-,-,[]
22,2001,Bundesliga,Hertha BSC,31,26.4,19,-,-,[]
23,2001,Bundesliga,Bayer 04 Leverkusen,32,25.1,14,-,-,[]
24,2001,Bundesliga,VfB Stuttgart,32,25.6,11,-,-,[]
25,2001,Bundesliga,1.FC Kaiserslautern,36,27.0,17,-,-,[]
26,2001,Bundesliga,VfL Wolfsburg,33,27.3,20,-,-,[]
27,2001,Bundesliga,SV Werder Bremen,30,26.6,15,-,-,[]
28,2001,Bundesliga,1.FC Köln,31,26.7,15,-,-,[]
29,2001,Bundesliga,1.FC Nuremberg,33,26.8,13,-,-,['German 2. Bundesliga Champion 00/01']
30,2001,Bundesliga,TSV 1860 Munich,37,28.7,17,-,-,[]
31,2001,Bundesliga,SC Freiburg,33,25.3,15,-,-,[]
32,2001,Bundesliga,FC Hansa Rostock,30,28.8,8,-,-,[]
33,2001,Bundesliga,FC Energie Cottbus,32,28.2,20,-,-,[]
34,2001,Bundesliga,Hamburger SV,32,28.0,16,-,-,[]
35,2001,Bundesliga,FC St. Pauli,33,26.8,13,-,-,[]
36,2002,Bundesliga,Bayern Munich,30,27.1,14,-,-,[]
37,2002,Bundesliga,Borussia Dortmund,34,25.9,14,-,-,['German Champion 01/02']
38,2002,Bundesliga,Bayer 04 Leverkusen,38,25.4,19,-,-,[]
39,2002,Bundesliga,FC Schalke 04,35,26.8,20,-,-,['German Cup winner  01/02']
40,2002,Bundesliga,1.FC Kaiserslautern,31,27.5,16,-,-,[]
41,2002,Bundesliga,Hamburger SV,29,27.9,18,-,-,[]
42,2002,Bundesliga,Borussia Mönchengladbach,37,26.7,15,-,-,[]
43,2002,Bundesliga,TSV 1860 Munich,29,28.6,14,-,-,[]
44,2002,Bundesliga,Hannover 96,33,27.6,20,-,-,['German 2. Bundesliga Champion 01/02']
45,2002,Bundesliga,1.FC Nuremberg,30,26.2,13,-,-,[]
46,2002,Bundesliga,VfL Wolfsburg,32,27.1,18,-,-,[]
47,2002,Bundesliga,VfB Stuttgart,34,26.3,14,-,-,[]
48,2002,Bundesliga,FC Energie Cottbus,34,28.6,18,-,-,[]
49,2002,Bundesliga,FC Hansa Rostock,26,28.0,11,-,-,[]
50,2002,Bundesliga,SV Werder Bremen,31,25.4,14,-,-,[]
51,2002,Bundesliga,Hertha BSC,34,26.7,21,-,-,[]
52,2002,Bundesliga,Arminia Bielefeld,31,27.7,16,-,-,[]
53,2002,Bundesliga,VfL Bochum,30,26.9,16,-,-,[]
54,2003,Bundesliga,Bayern Munich,30,26.6,14,-,-,"['German Champion 02/03', 'German Cup winner  02/03']"
55,2003,Bundesliga,FC Schalke 04,34,27.1,20,-,-,[]
