,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
0,2000,LaLiga,Real Sociedad,32,26.1,10,-,-,[]
1,2000,LaLiga,Real Oviedo,32,25.8,13,-,-,[]
2,2000,LaLiga,CD Numancia,27,27.5,7,-,-,[]
3,2000,LaLiga,Deportivo Alavés,27,26.6,13,-,-,[]
4,2000,LaLiga,Málaga CF,28,26.4,9,-,-,[]
5,2000,LaLiga,Villarreal CF,26,27.1,8,-,-,[]
6,2000,LaLiga,Valencia CF,28,27.3,15,-,-,[]
7,2000,LaLiga,Celta de Vigo,34,25.9,16,-,-,[]
8,2000,LaLiga,Deportivo de La Coruña,30,29.0,17,-,-,['Spanish Champion 99/00']
9,2000,LaLiga,RCD Espanyol Barcelona,32,26.0,8,-,-,['Spanish Cup winner  99/00']
10,2000,LaLiga,FC Barcelona,31,25.4,12,-,-,[]
11,2000,LaLiga,Racing Santander,33,26.6,15,-,-,[]
12,2000,LaLiga,Athletic Bilbao,27,26.5,0,-,-,[]
13,2000,LaLiga,UD Las Palmas,30,27.1,11,-,-,['Spanish 2nd tier champion 99/00']
14,2000,LaLiga,Real Madrid,34,25.5,11,-,-,['Champions League Winner 99/00']
15,2000,LaLiga,Rayo Vallecano,26,28.7,6,-,-,[]
16,2000,LaLiga,Real Valladolid CF,27,27.3,9,-,-,[]
17,2000,LaLiga,CA Osasuna,30,27.9,8,-,-,[]
18,2000,LaLiga,RCD Mallorca,41,25.6,12,-,-,[]
19,2000,LaLiga,Real Zaragoza,28,27.6,10,-,-,[]
20,2001,LaLiga,Athletic Bilbao,29,26.5,0,-,-,[]
21,2001,LaLiga,Deportivo Alavés,27,27.5,14,-,-,[]
22,2001,LaLiga,Málaga CF,30,26.7,10,-,-,[]
23,2001,LaLiga,Villarreal CF,26,28.2,6,-,-,[]
24,2001,LaLiga,Valencia CF,30,26.5,12,-,-,[]
25,2001,LaLiga,Celta de Vigo,31,26.5,18,-,-,[]
26,2001,LaLiga,Deportivo de La Coruña,29,28.1,11,-,-,[]
27,2001,LaLiga,RCD Espanyol Barcelona,32,25.7,9,-,-,[]
28,2001,LaLiga,Real Sociedad,34,25.5,10,-,-,[]
29,2001,LaLiga,CD Tenerife,31,26.6,12,-,-,[]
30,2001,LaLiga,FC Barcelona,35,25.1,16,-,-,[]
31,2001,LaLiga,UD Las Palmas,30,26.8,7,-,-,[]
32,2001,LaLiga,Real Madrid,37,25.5,13,-,-,['Spanish Champion 00/01']
33,2001,LaLiga,Sevilla FC,32,26.8,9,-,-,['Spanish 2nd tier champion 00/01']
34,2001,LaLiga,Rayo Vallecano,28,29.5,9,-,-,[]
35,2001,LaLiga,Real Valladolid CF,30,26.6,8,-,-,[]
36,2001,LaLiga,CA Osasuna,26,27.2,7,-,-,[]
37,2001,LaLiga,RCD Mallorca,29,27.0,11,-,-,[]
38,2001,LaLiga,Real Betis Balompié,31,26.5,12,-,-,[]
39,2001,LaLiga,Real Zaragoza,30,27.9,11,-,-,['Spanish Cup winner  00/01']
40,2002,LaLiga,RCD Espanyol Barcelona,34,26.4,9,-,-,[]
41,2002,LaLiga,Rayo Vallecano,30,26.7,7,-,-,[]
42,2002,LaLiga,Recreativo Huelva,29,27.3,4,-,-,[]
43,2002,LaLiga,Atlético de Madrid,25,28.6,9,-,-,['Spanish 2nd tier champion 01/02']
44,2002,LaLiga,Deportivo de La Coruña,28,29.2,10,-,-,['Spanish Cup winner  01/02']
45,2002,LaLiga,Sevilla FC,32,26.9,7,-,-,[]
46,2002,LaLiga,FC Barcelona,32,25.3,15,-,-,[]
47,2002,LaLiga,Celta de Vigo,32,26.8,16,-,-,[]
48,2002,LaLiga,Real Madrid,31,26.0,10,-,-,"['Champions League Winner 01/02', 'Intercontinental Cup Winner 01/02']"
49,2002,LaLiga,Real Betis Balompié,30,26.5,10,-,-,[]
50,2002,LaLiga,Valencia CF,35,25.6,11,-,-,['Spanish Champion 01/02']
51,2002,LaLiga,Athletic Bilbao,31,26.3,0,-,-,[]
52,2002,LaLiga,RCD Mallorca,29,27.1,8,-,-,[]
53,2002,LaLiga,Villarreal CF,31,25.6,5,-,-,[]
54,2002,LaLiga,Racing Santander,32,26.3,11,-,-,[]
55,2002,LaLiga,CA Osasuna,31,27.5,10,-,-,[]
56,2002,LaLiga,Málaga CF,33,26.1,8,-,-,[]
57,2002,LaLiga,Real Sociedad,25,27.2,8,-,-,[]
58,2002,LaLiga,Real Valladolid CF,30,25.7,6,-,-,[]
59,2002,LaLiga,Deportivo Alavés,25,28.9,10,-,-,[]
60,2003,LaLiga,Athletic Bilbao,29,25.8,0,-,-,[]
61,2003,LaLiga,Albacete Balompié,34,26.3,11,-,-,[]
62,2003,LaLiga,Málaga CF,27,26.3,7,-,-,[]
63,2003,LaLiga,Villarreal CF,33,24.3,6,-,-,[]
64,2003,LaLiga,Valencia CF,31,25.9,9,-,-,[]
65,2003,LaLiga,Celta de Vigo,31,27.7,15,-,-,[]
66,2003,LaLiga,Deportivo de La Coruña,28,29.8,9,-,-,[]
67,2003,LaLiga,RCD Espanyol Barcelona,35,26.1,14,-,-,[]
68,2003,LaLiga,Real Sociedad,32,26.0,8,-,-,[]
69,2003,LaLiga,Racing Santander,38,25.2,15,-,-,[]
70,2003,LaLiga,Atlético de Madrid,33,26.4,13,-,-,[]
71,2003,LaLiga,Real Madrid,32,25.7,8,-,-,['Spanish Champion 02/03']
72,2003,LaLiga,Sevilla FC,35,25.8,8,-,-,[]
73,2003,LaLiga,Real Valladolid CF,30,26.5,12,-,-,[]
74,2003,LaLiga,CA Osasuna,27,26.7,9,-,-,[]
75,2003,LaLiga,RCD Mallorca,32,26.8,12,-,-,['Spanish Cup winner  02/03']
76,2003,LaLiga,Real Murcia CF,35,27.3,12,-,-,['Spanish 2nd tier champion 02/03']
77,2003,LaLiga,Real Betis Balompié,29,27.0,6,-,-,[]
78,2003,LaLiga,Real Zaragoza,30,27.1,8,-,-,[]
79,2003,LaLiga,FC Barcelona,33,25.4,13,-,-,[]
80,2004,LaLiga,Real Madrid,34,25.9,10,€8.93m,€303.70m,[]
81,2004,LaLiga,FC Barcelona,35,24.9,15,€7.80m,€273.03m,[]
82,2004,LaLiga,Valencia CF,32,26.8,15,€6.12m,€195.90m,"['Spanish Champion 03/04', 'UEFA Cup Winner 03/04']"
83,2004,LaLiga,Deportivo de La Coruña,29,28.0,8,€4.98m,€144.45m,[]
84,2004,LaLiga,Atlético de Madrid,38,26.1,11,€3.31m,€125.65m,[]
85,2004,LaLiga,Real Betis Balompié,32,26.6,8,€2.66m,€85.15m,[]
86,2004,LaLiga,Sevilla FC,31,26.0,6,€2.28m,€70.55m,[]
87,2004,LaLiga,Villarreal CF,38,24.9,10,€1.74m,€66.25m,[]
88,2004,LaLiga,Real Sociedad,32,25.6,7,€1.67m,€53.55m,[]
89,2004,LaLiga,Athletic Bilbao,32,25.8,0,€1.66m,€53.05m,[]
90,2004,LaLiga,Real Zaragoza,28,26.3,7,€1.83m,€51.13m,['Spanish Cup winner  03/04']
91,2004,LaLiga,RCD Espanyol Barcelona,29,26.1,8,€1.56m,€45.15m,[]
92,2004,LaLiga,RCD Mallorca,32,26.8,11,€1.33m,€42.65m,[]
93,2004,LaLiga,Racing Santander,34,25.0,13,€968k,€32.90m,[]
94,2004,LaLiga,Málaga CF,31,26.2,9,€1.06m,€32.85m,[]
95,2004,LaLiga,CA Osasuna,27,26.1,8,€989k,€26.70m,[]
96,2004,LaLiga,Levante UD,27,29.5,8,€898k,€24.25m,['Spanish 2nd tier champion 03/04']
97,2004,LaLiga,Albacete Balompié,38,25.9,8,€467k,€17.75m,[]
98,2004,LaLiga,Getafe CF,29,27.8,3,€478k,€13.85m,[]
99,2004,LaLiga,CD Numancia,30,27.5,7,€447k,€13.40m,[]
100,2005,LaLiga,FC Barcelona,34,25.4,16,€9.63m,€327.50m,['Spanish Champion 04/05']
101,2005,LaLiga,Real Madrid,36,25.4,13,€7.82m,€281.60m,[]
