,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
0,2000,Ligue-1,AS Saint-Étienne,32,25.3,13,-,-,[]
1,2000,Ligue-1,ESTAC Troyes,27,27.2,11,-,-,[]
2,2000,Ligue-1,LOSC Lille,28,26.0,9,-,-,['French 2nd tier champion 99/00']
3,2000,Ligue-1,CS Sedan-Ardennes,30,26.9,8,-,-,[]
4,2000,Ligue-1,Olympique Lyon,28,26.8,7,-,-,[]
5,2000,Ligue-1,FC Nantes,30,23.7,7,-,-,['French Cup winner  99/00']
6,2000,Ligue-1,EA Guingamp,27,27.2,7,-,-,[]
7,2000,Ligue-1,RC Lens,28,26.5,10,-,-,[]
8,2000,Ligue-1,RC Strasbourg Alsace,33,25.7,17,-,-,[]
9,2000,Ligue-1,FC Girondins Bordeaux,27,26.5,10,-,-,[]
10,2000,Ligue-1,SC Bastia,27,27.6,12,-,-,[]
11,2000,Ligue-1,Paris Saint-Germain,34,25.4,14,-,-,[]
12,2000,Ligue-1,FC Toulouse,36,25.9,15,-,-,[]
13,2000,Ligue-1,FC Metz,33,26.3,9,-,-,[]
14,2000,Ligue-1,AJ Auxerre,29,25.2,9,-,-,[]
15,2000,Ligue-1,Stade Rennais FC,28,24.8,8,-,-,[]
16,2000,Ligue-1,Olympique Marseille,35,25.4,16,-,-,[]
17,2000,Ligue-1,AS Monaco,33,25.0,13,-,-,['French Champion 99/00']
18,2001,Ligue-1,Olympique Lyon,29,27.0,8,-,-,[]
19,2001,Ligue-1,RC Lens,32,26.2,14,-,-,[]
20,2001,Ligue-1,AJ Auxerre,30,24.7,10,-,-,[]
21,2001,Ligue-1,Paris Saint-Germain,40,25.9,19,-,-,[]
22,2001,Ligue-1,LOSC Lille,30,26.1,13,-,-,[]
23,2001,Ligue-1,FC Girondins Bordeaux,35,25.1,15,-,-,[]
24,2001,Ligue-1,ESTAC Troyes,37,26.7,19,-,-,[]
25,2001,Ligue-1,FC Sochaux-Montbéliard,28,26.8,8,-,-,['French 2nd tier champion 00/01']
26,2001,Ligue-1,Olympique Marseille,41,25.8,23,-,-,[]
27,2001,Ligue-1,FC Nantes,33,24.7,12,-,-,['French Champion 00/01']
28,2001,Ligue-1,SC Bastia,40,25.5,16,-,-,[]
29,2001,Ligue-1,Stade Rennais FC,35,25.0,9,-,-,[]
30,2001,Ligue-1,Montpellier HSC,34,25.2,15,-,-,[]
31,2001,Ligue-1,CS Sedan-Ardennes,34,26.6,9,-,-,[]
32,2001,Ligue-1,AS Monaco,37,26.3,23,-,-,[]
33,2001,Ligue-1,EA Guingamp,29,26.2,8,-,-,[]
34,2001,Ligue-1,FC Metz,36,25.0,13,-,-,[]
35,2001,Ligue-1,FC Lorient,34,26.0,10,-,-,[]
36,2002,Ligue-1,Olympique Lyon,28,26.5,8,-,-,['French Champion 01/02']
37,2002,Ligue-1,AS Monaco,32,25.3,18,-,-,[]
38,2002,Ligue-1,Olympique Marseille,34,24.4,18,-,-,[]
39,2002,Ligue-1,FC Girondins Bordeaux,27,25.5,15,-,-,[]
40,2002,Ligue-1,FC Sochaux-Montbéliard,32,25.3,14,-,-,[]
41,2002,Ligue-1,AJ Auxerre,35,24.9,12,-,-,[]
42,2002,Ligue-1,EA Guingamp,30,26.2,11,-,-,[]
43,2002,Ligue-1,RC Lens,30,26.5,17,-,-,[]
44,2002,Ligue-1,FC Nantes,37,23.6,12,-,-,[]
45,2002,Ligue-1,OGC Nice,32,26.0,10,-,-,[]
46,2002,Ligue-1,Paris Saint-Germain,33,25.8,19,-,-,[]
47,2002,Ligue-1,SC Bastia,37,25.4,16,-,-,[]
48,2002,Ligue-1,RC Strasbourg Alsace,35,25.7,9,-,-,[]
49,2002,Ligue-1,LOSC Lille,31,25.0,14,-,-,[]
50,2002,Ligue-1,Stade Rennais FC,35,24.8,14,-,-,[]
51,2002,Ligue-1,Montpellier HSC,32,25.1,13,-,-,[]
52,2002,Ligue-1,AC Ajaccio,31,27.2,11,-,-,['French 2nd tier champion 01/02']
53,2002,Ligue-1,Le Havre AC,30,23.7,11,-,-,[]
54,2002,Ligue-1,ESTAC Troyes,38,26.3,18,-,-,[]
55,2002,Ligue-1,CS Sedan-Ardennes,33,25.7,14,-,-,[]
56,2003,Ligue-1,Olympique Lyon,27,26.5,8,-,-,['French Champion 02/03']
57,2003,Ligue-1,AS Monaco,33,24.8,15,-,-,[]
58,2003,Ligue-1,Olympique Marseille,44,25.0,27,-,-,[]
59,2003,Ligue-1,FC Girondins Bordeaux,31,24.9,17,-,-,[]
60,2003,Ligue-1,FC Sochaux-Montbéliard,31,25.1,14,-,-,[]
61,2003,Ligue-1,AJ Auxerre,34,25.2,10,-,-,['French Cup winner  02/03']
62,2003,Ligue-1,EA Guingamp,34,26.4,14,-,-,[]
63,2003,Ligue-1,RC Lens,35,24.8,21,-,-,[]
64,2003,Ligue-1,FC Nantes,35,23.9,13,-,-,[]
65,2003,Ligue-1,OGC Nice,33,26.5,14,-,-,[]
66,2003,Ligue-1,Paris Saint-Germain,33,25.2,20,-,-,[]
67,2003,Ligue-1,SC Bastia,29,26.5,15,-,-,[]
68,2003,Ligue-1,RC Strasbourg Alsace,32,25.2,15,-,-,[]
69,2003,Ligue-1,LOSC Lille,30,24.9,11,-,-,[]
70,2003,Ligue-1,Stade Rennais FC,32,23.7,12,-,-,[]
71,2003,Ligue-1,Montpellier HSC,32,23.9,13,-,-,[]
72,2003,Ligue-1,AC Ajaccio,33,27.7,13,-,-,[]
73,2003,Ligue-1,FC Toulouse,30,24.5,11,-,-,['French 2nd tier champion 02/03']
74,2003,Ligue-1,Le Mans Union Club 72,26,26.2,8,-,-,[]
75,2003,Ligue-1,FC Metz,32,23.9,12,-,-,[]
76,2004,Ligue-1,Olympique Lyon,29,24.5,11,€4.62m,€133.90m,['French Champion 03/04']
77,2004,Ligue-1,AS Monaco,32,24.6,17,€3.24m,€103.80m,[]
78,2004,Ligue-1,Paris Saint-Germain,34,25.7,21,€2.40m,€81.75m,['French Cup winner  03/04']
79,2004,Ligue-1,Olympique Marseille,29,26.2,14,€2.71m,€78.60m,[]
80,2004,Ligue-1,Stade Rennais FC,31,23.2,16,€1.98m,€61.30m,[]
81,2004,Ligue-1,LOSC Lille,30,24.4,14,€1.88m,€56.25m,[]
82,2004,Ligue-1,FC Girondins Bordeaux,26,25.2,12,€2.02m,€52.60m,[]
83,2004,Ligue-1,RC Lens,28,25.4,16,€1.88m,€52.50m,[]
84,2004,Ligue-1,FC Sochaux-Montbéliard,30,25.2,15,€1.66m,€49.65m,[]
85,2004,Ligue-1,AJ Auxerre,37,24.9,12,€1.29m,€47.85m,[]
86,2004,Ligue-1,FC Nantes,38,23.8,19,€1.25m,€47.35m,[]
87,2004,Ligue-1,AS Saint-Étienne,29,24.6,12,€1.29m,€37.50m,['French 2nd tier champion 03/04']
88,2004,Ligue-1,FC Toulouse,29,24.5,9,€1.28m,€37.10m,[]
