,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
0,2000,Premier-League,Chelsea FC,38,27.9,30,-,-,['FA Cup Winner 99/00']
1,2000,Premier-League,Manchester City,40,26.5,27,-,-,[]
2,2000,Premier-League,Bradford City,42,28.3,16,-,-,[]
3,2000,Premier-League,Arsenal FC,37,26.1,24,-,-,[]
4,2000,Premier-League,Middlesbrough FC,36,27.4,18,-,-,[]
5,2000,Premier-League,Sunderland AFC,38,25.8,24,-,-,[]
6,2000,Premier-League,Derby County,39,24.9,24,-,-,[]
7,2000,Premier-League,Ipswich Town,30,27.1,12,-,-,[]
8,2000,Premier-League,Charlton Athletic,33,26.9,14,-,-,['English 2nd tier champion 99/00']
9,2000,Premier-League,Everton FC,35,26.8,19,-,-,[]
10,2000,Premier-League,Newcastle United,37,24.9,25,-,-,[]
11,2000,Premier-League,West Ham United,48,26.6,27,-,-,[]
12,2000,Premier-League,Liverpool FC,35,25.9,25,-,-,[]
13,2000,Premier-League,Manchester United,39,26.2,21,-,-,['English Champion 99/00']
14,2000,Premier-League,Leeds United,33,24.5,19,-,-,[]
15,2000,Premier-League,Tottenham Hotspur,36,26.0,18,-,-,[]
16,2000,Premier-League,Coventry City,38,25.2,22,-,-,[]
17,2000,Premier-League,Aston Villa,32,26.1,12,-,-,[]
18,2000,Premier-League,Southampton FC,32,27.4,15,-,-,[]
19,2000,Premier-League,Leicester City,40,26.7,15,-,-,[]
20,2001,Premier-League,West Ham United,33,28.4,21,-,-,[]
21,2001,Premier-League,Leicester City,37,26.6,13,-,-,[]
22,2001,Premier-League,Manchester United,38,26.2,22,-,-,['English Champion 00/01']
23,2001,Premier-League,Fulham FC,34,26.6,24,-,-,['English 2nd tier champion 00/01']
24,2001,Premier-League,Newcastle United,35,25.4,22,-,-,[]
25,2001,Premier-League,Ipswich Town,34,26.7,15,-,-,[]
26,2001,Premier-League,Middlesbrough FC,39,27.4,18,-,-,[]
27,2001,Premier-League,Chelsea FC,36,25.9,26,-,-,[]
28,2001,Premier-League,Aston Villa,27,26.8,15,-,-,[]
29,2001,Premier-League,Leeds United,27,25.6,14,-,-,[]
