,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
0,2000,Serie-A,AS Roma,37,25.0,14,-,-,[]
1,2000,Serie-A,Bologna FC 1909,37,24.7,8,-,-,[]
2,2000,Serie-A,US Lecce,40,25.7,11,-,-,[]
3,2000,Serie-A,AC Perugia,42,26.3,12,-,-,[]
4,2000,Serie-A,Atalanta BC,39,24.6,5,-,-,[]
5,2000,Serie-A,Juventus FC,43,24.7,16,-,-,[]
6,2000,Serie-A,AC Fiorentina,36,25.8,9,-,-,[]
7,2000,Serie-A,Udinese Calcio,43,24.0,22,-,-,[]
8,2000,Serie-A,SS Lazio,38,26.4,14,-,-,"['Italian Champion 99/00', 'Italian Cup winner 99/00']"
9,2000,Serie-A,Hellas Verona,38,24.8,6,-,-,[]
10,2000,Serie-A,AC Parma,38,25.6,16,-,-,[]
11,2000,Serie-A,Brescia Calcio,33,27.9,11,-,-,[]
12,2000,Serie-A,Inter Milan,47,24.7,24,-,-,[]
13,2000,Serie-A,AC Milan,48,25.8,22,-,-,[]
14,2000,Serie-A,Reggina Calcio,33,24.5,9,-,-,[]
15,2000,Serie-A,Vicenza Calcio,40,25.8,10,-,-,['Italian Serie B champion 99/00']
16,2000,Serie-A,SSC Napoli,43,24.9,13,-,-,[]
17,2000,Serie-A,AS Bari,45,24.1,15,-,-,[]
18,2001,Serie-A,AC Fiorentina,44,25.1,9,-,-,['Italian Cup winner 00/01']
19,2001,Serie-A,Piacenza FC,33,27.2,3,-,-,[]
20,2001,Serie-A,US Lecce,38,25.2,14,-,-,[]
21,2001,Serie-A,Atalanta BC,32,25.5,5,-,-,[]
22,2001,Serie-A,AC Venezia 1907,37,25.6,16,-,-,[]
23,2001,Serie-A,Juventus FC,39,25.2,16,-,-,[]
24,2001,Serie-A,Torino Calcio,37,26.2,7,-,-,['Italian Serie B champion 00/01']
25,2001,Serie-A,Hellas Verona,34,25.3,7,-,-,[]
26,2001,Serie-A,Inter Milan,41,26.2,23,-,-,[]
27,2001,Serie-A,AC Milan,38,26.7,20,-,-,[]
28,2001,Serie-A,SS Lazio,39,26.5,15,-,-,[]
29,2001,Serie-A,AC Parma,38,26.4,17,-,-,[]
30,2001,Serie-A,Udinese Calcio,45,25.3,30,-,-,[]
31,2001,Serie-A,Chievo Verona,35,25.9,9,-,-,[]
32,2001,Serie-A,AS Roma,37,25.7,17,-,-,['Italian Champion 00/01']
33,2001,Serie-A,Brescia Calcio,44,26.0,13,-,-,[]
34,2001,Serie-A,AC Perugia,44,25.6,20,-,-,[]
35,2001,Serie-A,Bologna FC 1909,34,25.2,9,-,-,[]
36,2002,Serie-A,Piacenza FC,36,27.0,6,-,-,[]
37,2002,Serie-A,Torino Calcio,41,25.7,7,-,-,[]
38,2002,Serie-A,Juventus FC,35,26.0,11,-,-,['Italian Champion 01/02']
39,2002,Serie-A,Como Calcio,37,27.3,10,-,-,['Italian Serie B champion 01/02']
40,2002,Serie-A,Atalanta BC,36,25.7,9,-,-,[]
41,2002,Serie-A,Inter Milan,41,26.2,19,-,-,[]
42,2002,Serie-A,AC Milan,48,25.6,21,-,-,[]
43,2002,Serie-A,SS Lazio,37,27.1,12,-,-,[]
44,2002,Serie-A,AC Parma,37,24.8,12,-,-,['Italian Cup winner 01/02']
45,2002,Serie-A,Udinese Calcio,35,25.9,21,-,-,[]
46,2002,Serie-A,Chievo Verona,36,26.7,11,-,-,[]
47,2002,Serie-A,AS Roma,36,26.7,16,-,-,[]
48,2002,Serie-A,Brescia Calcio,33,24.9,16,-,-,[]
49,2002,Serie-A,AC Perugia,35,26.0,10,-,-,[]
50,2002,Serie-A,Bologna FC 1909,35,25.9,7,-,-,[]
51,2002,Serie-A,FC Empoli,34,24.6,3,-,-,[]
52,2002,Serie-A,Modena FC,35,27.1,5,-,-,[]
53,2002,Serie-A,Reggina Calcio,39,24.3,11,-,-,[]
54,2003,Serie-A,AC Parma,45,23.9,12,€27k,€1.20m,[]
55,2003,Serie-A,Inter Milan,43,26.3,25,-,-,[]
56,2003,Serie-A,Juventus FC,40,26.1,15,-,-,['Italian Champion 02/03']
57,2003,Serie-A,AS Roma,43,24.0,16,-,-,[]
58,2003,Serie-A,AC Milan,38,26.4,15,-,-,"['Champions League Winner 02/03', 'Italian Cup winner 02/03']"
59,2003,Serie-A,UC Sampdoria,34,26.8,5,-,-,[]
