,date,league,ranking,name,position,nationality,age,club,value
0,2024-12-02,Premier League,1,Erling Haaland,Centre-Forward,Norway,24,Manchester City,€200.00m
1,2024-12-02,Premier League,2,Phil Foden,Right Winger,England,24,Manchester City,€150.00m
2,2024-12-02,Premier League,3,Bukayo Saka,Right Winger,England,23,Arsenal FC,€140.00m
3,2024-12-02,Premier League,4,Rodri,Defensive Midfield,Spain,28,Manchester City,€130.00m
4,2024-12-02,Premier League,5,Declan Rice,Defensive Midfield,England,25,Arsenal FC,€120.00m
5,2024-12-02,Premier League,6,Martin Ødegaard,Attacking Midfield,Norway,25,Arsenal FC,€110.00m
6,2024-12-02,Premier League,7,Cole Palmer,Attacking Midfield,England,22,Chelsea FC,€90.00m
7,2024-12-02,Premier League,8,Bruno Guimarães,Defensive Midfield,Brazil,27,Newcastle United,€85.00m
8,2024-12-02,Premier League,9,Rúben Dias,Centre-Back,Portugal,27,Manchester City,€80.00m
9,2024-12-02,Premier League,10,William Saliba,Centre-Back,France,23,Arsenal FC,€80.00m
10,2024-12-02,Premier League,11,Luis Díaz,Left Winger,Colombia,27,Liverpool FC,€80.00m
11,2024-12-02,Premier League,12,Alexis Mac Allister,Central Midfield,Argentina,25,Liverpool FC,€75.00m
12,2024-12-02,Premier League,13,Moisés Caicedo,Defensive Midfield,Ecuador,23,Chelsea FC,€75.00m
13,2024-12-02,Premier League,14,Alexander Isak,Centre-Forward,Sweden,25,Newcastle United,€75.00m
14,2024-12-02,Premier League,15,Josko Gvardiol,Left-Back,Croatia,22,Manchester City,€75.00m
15,2024-12-02,Premier League,16,Dominik Szoboszlai,Attacking Midfield,Hungary,24,Liverpool FC,€75.00m
16,2024-12-02,Premier League,17,Gabriel Magalhães,Centre-Back,Brazil,26,Arsenal FC,€75.00m
17,2024-12-02,Premier League,18,Kai Havertz,Centre-Forward,Germany,25,Arsenal FC,€75.00m
18,2024-12-02,Premier League,19,Enzo Fernández,Central Midfield,Argentina,23,Chelsea FC,€75.00m
19,2024-12-02,Premier League,20,James Maddison,Attacking Midfield,England,28,Tottenham Hotspur,€70.00m
20,2024-12-02,Premier League,21,Bernardo Silva,Attacking Midfield,Portugal,30,Manchester City,€70.00m
21,2024-12-02,Premier League,22,Trent Alexander-Arnold,Right-Back,England,26,Liverpool FC,€70.00m
22,2024-12-02,Premier League,23,Christopher Nkunku,Attacking Midfield,France,27,Chelsea FC,€65.00m
23,2024-12-02,Premier League,24,Bruno Fernandes,Attacking Midfield,Portugal,30,Manchester United,€65.00m
24,2024-12-02,Premier League,25,Ollie Watkins,Centre-Forward,England,28,Aston Villa,€65.00m
